Date,Open,High,Low,Close,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD3_Open,RD_P3_Open,RD_B3_Open,RD5_Open,RD_P5_Open,RD_B5_Open,RD30_Open,RD_P30_Open,RD_B30_Open,RD1_High,RD_P1_High,RD_B1_High,RD3_High,RD_P3_High,RD_B3_High,RD5_High,RD_P5_High,RD_B5_High,RD30_High,RD_P30_High,RD_B30_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD3_Low,RD_P3_Low,RD_B3_Low,RD5_Low,RD_P5_Low,RD_B5_Low,RD30_Low,RD_P30_Low,RD_B30_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD3_Close,RD_P3_Close,RD_B3_Close,RD5_Close,RD_P5_Close,RD_B5_Close,RD30_Close,RD_P30_Close,RD_B30_Close,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-07,7168.299805,7196.700195,7138.0,7141.100098,7141.100098,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-08,7135.600098,7169.299805,7105.700195,7122.399902,7122.399902,-32.699707,-0.456171029247,0,,,0,,,0,,,0,-27.40039,-0.380735465666,0,,,0,,,0,,,0,-32.299805,-0.452504973382,0,,,0,,,0,,,0,-18.700196,-0.261867159728,0,,,0,,,0,,,0,-18.700196,-0.261867159728,0,,,0,,,0,,,0
1993-07-09,7122.399902,7188.799805,7070.600098,7070.600098,7070.600098,-13.200196,-0.184990692005,0,,,0,,,0,,,0,19.5,0.27199308901,1,,,0,,,0,,,0,-35.100097,-0.493970981561,0,,,0,,,0,,,0,-51.799804,-0.727280196461,0,,,0,,,0,,,0,-51.799804,-0.727280196461,0,,,0,,,0,,,0
1993-07-12,7070.600098,7070.600098,6903.399902,6952.600098,6952.600098,-51.799804,-0.727280196461,0,-97.699707,-1.36294113887,0,,,0,,,0,-118.199707,-1.6442203178,0,-126.100097,-1.75219327724,0,,,0,,,0,-167.200196,-2.36472426219,0,-234.600098,-3.28663628467,0,,,0,,,0,-118.0,-1.66888239137,0,-188.5,-2.63964931752,0,,,0,,,0,-118.0,-1.66888239137,0,-188.5,-2.63964931752,0,,,0,,,0
1993-07-13,6951.299805,6981.200195,6914.899902,6956.100098,6956.100098,-119.300293,-1.68727252774,0,-184.300293,-2.58282822004,0,,,0,,,0,-89.399903,-1.26438918565,0,-188.09961,-2.62368174182,0,,,0,,,0,11.5,0.166584583875,1,-190.800293,-2.68517229497,0,,,0,,,0,3.5,0.0503408789613,1,-166.299804,-2.33488439695,0,,,0,,,0,3.5,0.0503408789613,1,-166.299804,-2.33488439695,0,,,0,,,0
1993-07-14,6957.399902,7028.600098,6955.5,6955.5,6955.5,6.100097,0.0877547677574,1,-165.0,-2.31663487406,0,-210.899903,-2.94211889482,0,,,0,47.399903,0.678964958403,1,-160.199707,-2.22846248811,0,-168.100097,-2.33579407847,0,,,0,40.600098,0.587139345116,1,-115.100098,-1.62786887117,0,-182.5,-2.55673858224,0,,,0,-0.600098000001,-0.00862693163621,0,-115.100098,-1.62786887117,0,-185.600098,-2.59904070035,0,,,0,-0.600098000001,-0.00862693163621,0,-115.100098,-1.62786887117,0,-185.600098,-2.59904070035,0,,,0
1993-07-15,6955.5,7002.200195,6950.299805,6978.5,6978.5,-1.899902,-0.0273076440446,0,-115.100098,-1.62786887117,0,-180.100098,-2.52396568651,0,,,0,-26.399903,-0.375606843922,0,-68.399903,-0.967384692275,0,-167.09961,-2.3307661075,0,,,0,-5.200195,-0.0747637840558,0,46.899903,0.679373984787,1,-155.40039,-2.18698208108,0,,,0,23.0,0.33067356768,1,25.899902,0.372521094769,1,-143.899902,-2.02038503847,0,,,0,23.0,0.33067356768,1,25.899902,0.372521094769,1,-143.899902,-2.02038503847,0,,,0
1993-07-16,6978.5,6978.5,6923.799805,6925.200195,6925.200195,23.0,0.33067356768,1,27.200195,0.391296531052,1,-143.899902,-2.02038503847,0,,,0,-23.700195,-0.338467829253,0,-2.700195,-0.0386780915112,0,-210.299805,-2.92538129736,0,,,0,-26.5,-0.381278516661,0,8.899903,0.128706172557,1,-146.800293,-2.07620698336,0,,,0,-53.299805,-0.7637716558,0,-30.899903,-0.444213029782,0,-145.399903,-2.056401168,0,,,0,-53.299805,-0.7637716558,0,-30.899903,-0.444213029782,0,-145.399903,-2.056401168,0,,,0
1993-07-19,6923.200195,6923.200195,6775.700195,6813.700195,6813.700195,-55.299805,-0.792431109837,0,-34.199707,-0.491558735759,0,-147.399903,-2.08468731023,0,,,0,-55.299805,-0.792431109837,0,-105.399903,-1.49958599907,0,-147.399903,-2.08468731023,0,,,0,-148.09961,-2.13899324318,0,-179.799805,-2.58500186902,0,-127.699707,-1.84980891753,0,,,0,-111.5,-1.61006175793,0,-141.799805,-2.03867162677,0,-138.899903,-1.99781234419,0,,,0,-111.5,-1.61006175793,0,-141.799805,-2.03867162677,0,-138.899903,-1.99781234419,0,,,0
1993-07-20,6814.600098,6856.600098,6767.700195,6846.799805,6846.799805,-108.600097,-1.56864013666,0,-140.899902,-2.02573362088,0,-136.699707,-1.96653447319,0,,,0,-66.600097,-0.961984272073,0,-145.600097,-2.07934781848,0,-124.600097,-1.78479478485,0,,,0,-8.0,-0.118068978405,0,-182.59961,-2.62721918655,0,-147.199707,-2.12873228949,0,,,0,33.09961,0.485780252326,1,-131.700195,-1.88722784266,0,-109.300293,-1.57128694901,0,,,0,33.09961,0.485780252326,1,-131.700195,-1.88722784266,0,-109.300293,-1.57128694901,0,,,0
1993-07-21,6848.100098,6891.799805,6819.0,6840.0,6840.0,33.5,0.491591575709,1,-130.399902,-1.86859499893,0,-109.299804,-1.5709863676,0,,,0,35.199707,0.513369694847,1,-86.700195,-1.24239012682,0,-136.800293,-1.94633769303,0,,,0,51.299805,0.758009420067,1,-104.799805,-1.51361691487,0,-136.5,-1.96247573862,0,,,0,-6.799805,-0.0993136237901,0,-85.200195,-1.23029215908,0,-115.5,-1.66055639422,0,,,0,-6.799805,-0.0993136237901,0,-85.200195,-1.23029215908,0,-115.5,-1.66055639422,0,,,0
1993-07-22,6832.799805,6832.799805,6748.0,6760.0,6760.0,-15.300293,-0.223423910005,0,-90.40039,-1.30576016082,0,-122.700195,-1.76407440155,0,,,0,-59.0,-0.856089870126,0,-90.40039,-1.30576016082,0,-169.40039,-2.41924516984,0,,,0,-71.0,-1.04120838833,0,-27.700195,-0.408816715658,0,-202.299805,-2.91066300269,0,,,0,-80.0,-1.16959064327,0,-53.700195,-0.788120895595,0,-218.5,-3.13104535359,0,,,0,-80.0,-1.16959064327,0,-53.700195,-0.788120895595,0,-218.5,-3.13104535359,0,,,0
1993-07-23,6758.0,6758.0,6707.899902,6750.299805,6750.299805,-74.799805,-1.09471676523,0,-56.600098,-0.830571085405,0,-220.5,-3.15970480762,0,,,0,-74.799805,-1.09471676523,0,-98.600098,-1.43803191948,0,-220.5,-3.15970480762,0,,,0,-40.100098,-0.594251600474,0,-59.800293,-0.883613210942,0,-215.899903,-3.11822856062,0,,,0,-9.700195,-0.143494008876,0,-96.5,-1.40941757826,0,-174.90039,-2.52556438912,0,,,0,-9.700195,-0.143494008876,0,-96.5,-1.40941757826,0,-174.90039,-2.52556438912,0,,,0
1993-07-26,6751.0,6876.299805,6751.0,6858.100098,6858.100098,-7.0,-0.103580941107,0,-97.100098,-1.41791294827,0,-172.200195,-2.48729186142,0,,,0,118.299805,1.75051501924,1,-15.5,-0.224904965881,0,-46.90039,-0.677438015354,0,,,0,43.100098,0.642527447184,1,-68.0,-0.997213667693,0,-24.700195,-0.364540848756,0,,,0,107.800293,1.59697044745,1,18.100098,0.264621315789,1,44.399903,0.651626894776,1,,,0,107.800293,1.59697044745,1,18.100098,0.264621315789,1,44.399903,0.651626894776,1,,,0
1993-07-27,6868.899902,6925.0,6845.799805,6866.0,6866.0,117.899902,1.74640648793,1,36.100097,0.528335353446,1,54.299804,0.796815707732,1,,,0,48.700195,0.708232572474,1,92.200195,1.34937650204,1,68.399902,0.997577531464,1,,,0,94.799805,1.40423352096,1,97.799805,1.44931542679,1,78.09961,1.15400516793,1,,,0,7.899902,0.115190823801,1,106.0,1.56804733728,1,19.200195,0.280425827348,1,,,0,7.899902,0.115190823801,1,106.0,1.56804733728,1,19.200195,0.280425827348,1,,,0
1993-07-28,6861.299805,6908.200195,6838.200195,6903.200195,6903.200195,-7.600097,-0.110645039358,0,103.299805,1.52855585972,1,13.199707,0.192749913277,1,,,0,-16.799805,-0.242596462094,0,150.200195,2.22255393608,1,16.40039,0.237969622799,1,,,0,-7.59961,-0.111011280149,0,130.300293,1.94249012215,1,19.200195,0.281569071711,1,,,0,37.200195,0.541803014856,1,152.90039,2.26509035772,1,63.200195,0.923979459064,1,,,0,37.200195,0.541803014856,1,152.90039,2.26509035772,1,63.200195,0.923979459064,1,,,0
1993-07-29,6902.899902,6939.299805,6874.200195,6899.899902,6899.899902,41.600097,0.606300528796,1,151.899902,2.25003557991,1,70.100097,1.02593518032,1,,,0,31.09961,0.450183971543,1,63.0,0.916190419071,1,106.5,1.55865828122,1,,,0,36.0,0.526454315074,1,123.200195,1.82491771589,1,126.200195,1.8701866479,1,,,0,-3.300293,-0.0478081600819,0,41.799804,0.609495390891,1,139.899902,2.06952517751,1,,,0,-3.300293,-0.0478081600819,0,41.799804,0.609495390891,1,139.899902,2.06952517751,1,,,0
1993-07-30,6899.899902,7004.899902,6899.0,6989.0,6989.0,-3.0,-0.0434599956915,0,31.0,0.451309531982,1,141.899902,2.09973219888,1,,,0,65.600097,0.945341732501,1,79.899902,1.15378919856,1,246.899902,3.65344631548,1,,,0,24.799805,0.360766406222,1,53.200195,0.777121687975,1,191.100098,2.84888118177,1,,,0,89.100098,1.2913245013,1,123.0,1.79143606175,1,238.700195,3.53614212547,1,,,0,89.100098,1.2913245013,1,123.0,1.79143606175,1,238.700195,3.53614212547,1,,,0
1993-08-02,6989.0,7066.399902,6989.0,7029.0,7029.0,89.100098,1.2913245013,1,127.700195,1.86116623132,1,238.0,3.5254036439,1,,,0,61.5,0.877956871053,1,158.199707,2.29002782975,1,190.100097,2.76456964343,1,,,0,90.0,1.3045368894,1,150.799805,2.2052557793,1,238.0,3.5254036439,1,,,0,40.0,0.572327943912,1,125.799805,1.82234038484,1,170.899902,2.49194236826,1,,,0,40.0,0.572327943912,1,125.799805,1.82234038484,1,170.899902,2.49194236826,1,,,0
1993-08-03,7044.200195,7212.799805,7044.200195,7211.799805,7211.799805,55.200195,0.789815352697,1,141.300293,2.04697004166,1,175.300293,2.5520868771,1,,,0,146.399903,2.07177494948,1,273.5,3.94131984041,1,287.799805,4.15595386282,1,,,0,55.200195,0.789815352697,1,170.0,2.4730149716,1,198.40039,2.89813309842,1,,,0,182.799805,2.60065165742,1,311.899903,4.52035402585,1,345.799805,5.03640846199,1,,,0,182.799805,2.60065165742,1,311.899903,4.52035402585,1,345.799805,5.03640846199,1,,,0
1993-08-04,7226.5,7262.600098,7148.5,7164.200195,7164.200195,182.299805,2.58794185221,1,326.600098,4.7334034209,1,365.200195,5.32260949644,1,,,0,49.800293,0.690443300055,1,257.700196,3.67885622358,1,354.399903,5.13013365271,1,,,0,104.299805,1.48064793891,1,249.5,3.61646615452,1,310.299805,4.53774086969,1,,,0,-47.59961,-0.66002400631,0,175.200195,2.50679918443,1,261.0,3.78085514873,1,,,0,-47.59961,-0.66002400631,0,175.200195,2.50679918443,1,261.0,3.78085514873,1,,,0
1993-08-05,7211.399902,7310.700195,7211.399902,7307.5,7307.5,-15.100098,-0.208954514634,0,222.399902,3.18214196595,1,308.5,4.46913622361,1,,,0,48.100097,0.662298575592,1,244.300293,3.45721012663,1,371.40039,5.35213062465,1,,,0,62.899902,0.879903504232,1,222.399902,3.18214196595,1,337.199707,4.90529366959,1,,,0,143.299805,2.00022055637,1,278.5,3.96215677906,1,407.600098,5.90733349453,1,,,0,143.299805,2.00022055637,1,278.5,3.96215677906,1,407.600098,5.90733349453,1,,,0
1993-08-06,7293.100098,7399.899902,7281.600098,7396.799805,7396.799805,81.700196,1.13293115221,1,248.899903,3.53340189248,1,393.200196,5.69863623509,1,,,0,89.199707,1.220125359,1,187.100097,2.59400097131,1,395.0,5.63890998481,1,,,0,70.200196,0.973461421555,1,237.399903,3.37014702064,1,382.600098,5.5457326859,1,,,0,89.299805,1.22202949025,1,185.0,2.56524036998,1,407.799805,5.83488059808,1,,,0,89.299805,1.22202949025,1,185.0,2.56524036998,1,407.799805,5.83488059808,1,,,0
1993-08-09,7409.399902,7497.799805,7376.799805,7382.200195,7382.200195,116.299804,1.59465525548,1,182.899902,2.53096107383,1,420.399902,6.01516528831,1,,,0,97.899903,1.32298955792,1,235.199707,3.23850554658,1,431.399903,6.10494606848,1,,,0,95.199707,1.3074009245,1,228.299805,3.19367426733,1,387.799805,5.54871662613,1,,,0,-14.59961,-0.197377384611,0,218.0,3.0429077087,1,353.200195,5.0248996301,1,,,0,-14.59961,-0.197377384611,0,218.0,3.0429077087,1,353.200195,5.0248996301,1,,,0
1993-08-10,7405.200195,7434.899902,7283.700195,7329.799805,7329.799805,-4.199707,-0.0566807981152,0,193.800293,2.68741569783,1,361.0,5.12478336797,1,,,0,-62.899903,-0.838911475845,0,124.199707,1.6988756711,1,222.100097,3.07924943163,1,,,0,-93.09961,-1.26205959848,0,72.300293,1.00258332616,1,239.5,3.39996015687,1,,,0,-52.40039,-0.709820766382,0,22.299805,0.305163256928,1,118.0,1.63620737112,1,,,0,-52.40039,-0.709820766382,0,22.299805,0.305163256928,1,118.0,1.63620737112,1,,,0
1993-08-11,7327.600098,7357.600098,7298.700195,7357.600098,7357.600098,-77.600097,-1.04791356015,0,34.5,0.473049862698,1,101.100098,1.39901886114,1,,,0,-77.299804,-1.03968856365,0,-42.299804,-0.571626705228,0,95.0,1.3080714719,1,,,0,15.0,0.205939283584,1,17.100097,0.234839825998,1,150.200195,2.10114282717,1,,,0,27.800293,0.379277657502,1,-39.199707,-0.529954953945,0,193.399903,2.69953236559,1,,,0,27.800293,0.379277657502,1,-39.199707,-0.529954953945,0,193.399903,2.69953236559,1,,,0
1993-08-12,7366.5,7411.600098,7334.5,7339.600098,7339.600098,38.899902,0.530868244442,1,-42.899902,-0.57899293556,0,155.100098,2.1507626828,1,,,0,54.0,0.733934969022,1,-86.199707,-1.14966669212,0,100.899903,1.38016743005,1,,,0,35.799805,0.490495623105,1,-42.299805,-0.573416740567,0,123.100098,1.7070208236,1,,,0,-18.0,-0.244644989674,0,-42.600097,-0.577065046663,0,32.100098,0.439276058844,1,,,0,-18.0,-0.244644989674,0,-42.600097,-0.577065046663,0,32.100098,0.439276058844,1,,,0
1993-08-13,7348.600098,7401.600098,7314.600098,7392.299805,7392.299805,-17.899902,-0.242990592547,0,-56.600097,-0.764329059439,0,55.5,0.760993257383,1,,,0,-10.0,-0.13492363144,0,-33.299804,-0.44788503462,0,1.700196,0.0229759324115,1,,,0,-19.899902,-0.271319135592,0,30.899903,0.424233592443,1,33.0,0.453197093439,1,,,0,52.699707,0.718018778903,1,62.5,0.852683588403,1,-4.5,-0.0608371203579,0,,,0,52.699707,0.718018778903,1,62.5,0.852683588403,1,-4.5,-0.0608371203579,0,,,0
1993-08-16,7392.299805,7489.5,7392.299805,7489.5,7489.5,43.699707,0.594667098729,1,64.699707,0.882959033445,1,-17.100097,-0.23078923025,0,,,0,87.899902,1.18757972379,1,131.899902,1.79270278682,1,-8.299805,-0.11069654053,0,,,0,77.699707,1.06225502364,1,93.59961,1.28241477933,1,15.5,0.210118213992,1,,,0,97.200195,1.31488437379,1,131.899902,1.79270278682,1,107.299805,1.45349356785,1,,,0,97.200195,1.31488437379,1,131.899902,1.79270278682,1,107.299805,1.45349356785,1,,,0
1993-08-17,7500.100098,7541.799805,7485.0,7528.799805,7528.799805,107.800293,1.45827815218,1,133.600098,1.81361702301,1,94.899903,1.28153055287,1,,,0,52.299805,0.698308365044,1,130.199707,1.75670172808,1,106.899903,1.43781226928,1,,,0,92.700195,1.25401021935,1,150.5,2.05194628127,1,201.299805,2.76370250849,1,,,0,39.299805,0.524732024835,1,189.199707,2.5777931287,1,199.0,2.71494454547,1,,,0,39.299805,0.524732024835,1,189.199707,2.5777931287,1,199.0,2.71494454547,1,,,0
1993-08-18,7539.399902,7570.0,7492.700195,7561.0,7561.0,39.299804,0.523990393281,1,190.799804,2.59641022039,1,211.799804,2.89043890452,1,371.100097,5.17696116367,1,28.200195,0.373918636521,1,168.399902,2.27518238989,1,212.399902,2.8868095462,1,373.299805,5.18709679277,1,7.700195,0.1028750167,1,178.100097,2.43485760826,1,194.0,2.65800751938,1,354.700195,4.96918177361,1,32.200195,0.427693601025,1,168.700195,2.2821070499,1,203.399902,2.76448705136,1,419.899902,5.88004503841,1,32.200195,0.427693601025,1,168.700195,2.2821070499,1,203.399902,2.76448705136,1,419.899902,5.88004503841,1
1993-08-19,7556.600098,7615.100098,7530.0,7605.299805,7605.299805,17.200196,0.228137467485,1,164.300293,2.22258698016,1,190.100098,2.58060270142,1,421.0,5.89999431327,1,45.100098,0.595774081902,1,125.600098,1.67701579545,1,203.5,2.7456958998,1,445.800293,6.21818455254,1,37.299805,0.497815260577,1,137.700195,1.86275176376,1,195.5,2.66548503647,1,424.299805,5.97125959942,1,44.299805,0.585898756778,1,115.799805,1.54616202684,1,265.699707,3.62008424781,1,482.899903,6.78001670286,1,44.299805,0.585898756778,1,115.799805,1.54616202684,1,265.699707,3.62008424781,1,482.899903,6.78001670286,1
1993-08-20,7591.899902,7591.899902,7504.299805,7545.399902,7545.399902,35.299804,0.46713870712,1,91.799804,1.22398105093,1,243.299804,3.31083200549,1,469.5,6.59187923256,1,-23.200196,-0.304660420762,0,50.100097,0.664298951118,1,190.299804,2.5710630334,1,403.100097,5.60733513151,1,-25.700195,-0.341304050465,0,19.299805,0.257846426186,1,189.699707,2.59343921005,1,433.699707,6.13384579794,1,-59.899903,-0.78760738611,0,16.600097,0.220487958638,1,153.100097,2.07107532214,1,474.799804,6.71512739257,1,-59.899903,-0.78760738611,0,16.600097,0.220487958638,1,153.100097,2.07107532214,1,474.799804,6.71512739257,1
1993-08-23,7546.899902,7549.899902,7388.399902,7388.399902,7388.399902,-45.0,-0.59273700366,0,7.5,0.0994774132887,1,154.600097,2.09136670695,1,476.299804,6.73634199924,1,-42.0,-0.553221203416,0,-20.100098,-0.265523091149,0,60.399902,0.806461072168,1,479.299804,6.77877121258,1,-115.899903,-1.54444659744,0,-104.300293,-1.3920254419,0,-3.899903,-0.0527562883389,0,485.0,7.02552375474,1,-157.0,-2.08073796007,0,-172.600098,-2.28276812591,0,-101.100098,-1.34989115428,0,435.799804,6.26815576701,1,-157.0,-2.08073796007,0,-172.600098,-2.28276812591,0,-101.100098,-1.34989115428,0,435.799804,6.26815576701,1
1993-08-24,7361.700195,7385.899902,7313.799805,7327.700195,7327.700195,-185.199707,-2.45398387954,0,-194.899903,-2.57920096965,0,-138.399903,-1.84530741179,0,410.40039,5.90393741477,1,-164.0,-2.17221422971,0,-229.200196,-3.00981199262,0,-155.899903,-2.0671445415,0,404.699707,5.79699329192,1,-74.600097,-1.00969219303,0,-216.200195,-2.87118452855,0,-171.200195,-2.28724375418,0,398.899903,5.76870104634,1,-60.699707,-0.821554163352,0,-277.59961,-3.65008108974,0,-201.09961,-2.67107128903,0,371.600097,5.34207518243,1,-60.699707,-0.821554163352,0,-277.59961,-3.65008108974,0,-201.09961,-2.67107128903,0,371.600097,5.34207518243,1
1993-08-25,7326.399902,7370.399902,7265.600098,7265.600098,7265.600098,-35.300293,-0.479512776464,0,-265.5,-3.4971483216,0,-213.0,-2.8251585374,0,369.0,5.3037054819,1,-15.5,-0.209859329339,0,-221.5,-2.91758325135,0,-199.600098,-2.63672520476,0,341.799804,4.86298550542,1,-48.199707,-0.659024150033,0,-238.699707,-3.18083916158,0,-227.100097,-3.0309513405,0,310.100098,4.45834372799,1,-62.100097,-0.847470493435,0,-279.799804,-3.70821702804,0,-295.399902,-3.90688932681,0,310.100098,4.45834372799,1,-62.100097,-0.847470493435,0,-279.799804,-3.70821702804,0,-295.399902,-3.90688932681,0,310.100098,4.45834372799,1
1993-08-26,7272.799805,7449.100098,7272.799805,7449.100098,7449.100098,-53.600097,-0.731602119963,0,-274.100097,-3.63195617484,0,-283.800293,-3.75566113489,0,317.299805,4.56185471929,1,78.700196,1.06778732561,1,-100.799804,-1.33511444269,0,-166.0,-2.17987942199,0,446.899903,6.38227829189,1,7.199707,0.0990930811342,1,-115.600097,-1.5646161352,0,-257.200195,-3.41567324037,0,322.5,4.64008760842,1,183.5,2.52560005402,1,60.700196,0.821560781835,1,-156.199707,-2.05382708118,0,470.600098,6.74357093931,1,183.5,2.52560005402,1,60.700196,0.821560781835,1,-156.199707,-2.05382708118,0,470.600098,6.74357093931,1
1993-08-27,7440.5,7440.5,7371.100098,7423.0,7423.0,167.700195,2.30585468453,1,78.799805,1.07040225645,1,-151.399902,-1.99422942813,0,462.0,6.62033388264,1,-8.600098,-0.11545150269,0,54.600098,0.739247738589,1,-151.399902,-1.99422942813,0,462.0,6.62033388264,1,98.300293,1.35161554883,1,57.300293,0.783454490521,1,-133.199707,-1.77497848515,0,447.300293,6.46032966865,1,-26.100098,-0.350379208987,0,95.299805,1.30054181345,1,-122.399902,-1.62217912357,0,497.799805,7.18823703262,1,-26.100098,-0.350379208987,0,95.299805,1.30054181345,1,-122.399902,-1.62217912357,0,497.799805,7.18823703262,1
1993-08-30,7422.98,7422.98,7422.98,7422.98,7422.98,-17.52,-0.235468046502,0,96.580098,1.31824769726,1,-123.919902,-1.64199742423,0,499.779805,7.21891308821,1,-17.52,-0.235468046502,0,52.580098,0.713395456137,1,-126.919902,-1.68108059242,0,499.779805,7.21891308821,1,51.879902,0.703828482998,1,157.379902,2.16609639778,1,34.580098,0.468032300074,1,647.279805,9.55295816479,1,-0.0200000000004,-0.00026943284387,0,157.379902,2.16609639778,1,34.580098,0.468032300074,1,609.279805,8.94198141338,1,-0.0200000000004,-0.00026943284387,0,157.379902,2.16609639778,1,34.580098,0.468032300074,1,609.279805,8.94198141338,1
1993-08-31,7423.0,7551.799805,7423.0,7549.700195,7549.700195,0.0200000000004,0.000269433569812,1,150.200195,2.0652320843,1,61.299805,0.832685431032,1,608.399902,8.9278885518,1,128.819805,1.73541899614,1,102.699707,1.37868609159,1,165.899903,2.24617047619,1,695.199707,10.1391315968,1,0.0200000000004,0.000269433569812,1,150.200195,2.0652320843,1,109.200195,1.49307060504,1,655.299805,9.68275464513,1,126.720195,1.70713372527,1,100.600097,1.35050000237,1,222.0,3.0295999303,1,702.90039,10.266115704,1,126.720195,1.70713372527,1,100.600097,1.35050000237,1,222.0,3.0295999303,1,702.90039,10.266115704,1
1993-09-01,7559.399902,7589.600098,7520.799805,7542.200195,7542.200195,136.399902,1.83753067493,1,118.899902,1.59800956925,1,233.0,3.18027957956,1,711.299804,10.3868196116,1,37.800293,0.500546809715,1,149.100098,2.00389890464,1,219.200196,2.97406109458,1,697.800293,10.1250807154,1,97.799805,1.31752397952,1,149.699707,2.03090047632,1,255.199707,3.51243811327,1,701.799805,10.2918287872,1,-7.5,-0.0993416931306,0,119.200195,1.6058223764,1,276.600097,3.80698212493,1,702.200195,10.2660847222,1,-7.5,-0.0993416931306,0,119.200195,1.6058223764,1,276.600097,3.80698212493,1,702.200195,10.2660847222,1
1993-09-02,7534.799805,7538.299805,7444.799805,7493.5,7493.5,-24.600097,-0.325423939981,0,111.819805,1.50640046181,1,262.0,3.60246407195,1,702.0,10.2739728959,1,-51.300293,-0.67592880175,0,115.319805,1.55355133653,1,89.199707,1.19745614674,1,705.5,10.3251964075,1,-76.0,-1.0105308208,0,21.819805,0.293949397681,1,172.0,2.36497641365,1,696.799805,10.3260196354,1,-48.700195,-0.645702762336,0,70.52,0.950022767137,1,44.399902,0.596043836381,1,733.5,10.850591716,1,-48.700195,-0.645702762336,0,70.52,0.950022767137,1,44.399902,0.596043836381,1,733.5,10.850591716,1
1993-09-03,7493.5,7551.700195,7486.200195,7512.100098,7512.100098,-41.299805,-0.548120800404,0,70.5,0.949750774619,1,53.0,0.712317720583,1,735.5,10.8833974549,1,13.40039,0.177764089339,1,-0.0996099999993,-0.00131902331327,0,111.200195,1.49452583832,1,793.700195,11.7446018793,1,41.40039,0.556098096448,1,63.200195,0.851410413579,1,115.100097,1.56150500563,1,778.300293,11.6027416087,1,18.600098,0.248216427571,1,-37.600097,-0.498034306381,0,89.100098,1.20032463963,1,761.800293,11.2854290181,1,18.600098,0.248216427571,1,-37.600097,-0.498034306381,0,89.100098,1.20032463963,1,761.800293,11.2854290181,1
1993-09-07,7519.700195,7563.5,7513.200195,7546.700195,7546.700195,26.200195,0.34963895376,1,-39.699707,-0.525170086444,0,96.720195,1.30298337056,1,768.700195,11.3864641535,1,11.799805,0.156253620977,1,-26.100098,-0.343892927993,0,140.52,1.89304026146,1,687.200195,9.99374975623,1,27.0,0.360663611668,1,-7.59961,-0.101047896461,0,90.220195,1.21541746037,1,762.200195,11.2901821212,1,34.600097,0.460591532975,1,4.5,0.0596642873917,1,123.720195,1.6667186898,1,688.600097,10.0406830924,1,34.600097,0.460591532975,1,4.5,0.0596642873917,1,123.720195,1.6667186898,1,688.600097,10.0406830924,1
