Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD3_Open,RD_P3_Open,RD_B3_Open,RD5_Open,RD_P5_Open,RD_B5_Open,RD30_Open,RD_P30_Open,RD_B30_Open,RD1_High,RD_P1_High,RD_B1_High,RD3_High,RD_P3_High,RD_B3_High,RD5_High,RD_P5_High,RD_B5_High,RD30_High,RD_P30_High,RD_B30_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD3_Low,RD_P3_Low,RD_B3_Low,RD5_Low,RD_P5_Low,RD_B5_Low,RD30_Low,RD_P30_Low,RD_B30_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD3_Close,RD_P3_Close,RD_B3_Close,RD5_Close,RD_P5_Close,RD_B5_Close,RD30_Close,RD_P30_Close,RD_B30_Close,RD1_Volume,RD_P1_Volume,RD_B1_Volume,RD3_Volume,RD_P3_Volume,RD_B3_Volume,RD5_Volume,RD_P5_Volume,RD_B5_Volume,RD30_Volume,RD_P30_Volume,RD_B30_Volume,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-07,2818.0,2821.5,2799.0,2818.699951,0.0,2818.699951,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-08,2823.199951,2840.199951,2823.199951,2832.800049,0.0,2832.800049,5.199951,0.184526295245,1,,,0,,,0,,,0,18.699951,0.662766294524,1,,,0,,,0,,,0,24.199951,0.86459274741,1,,,0,,,0,,,0,14.100098,0.500234088236,1,,,0,,,0,,,0,0.0,,0,,,0,,,0,,,0,14.100098,0.500234088236,1,,,0,,,0,,,0
1993-07-09,2832.800049,2844.0,2822.399902,2830.800049,0.0,2830.800049,9.600098,0.340043148435,1,,,0,,,0,,,0,3.800049,0.13379512237,1,,,0,,,0,,,0,-0.800049,-0.0283383753856,0,,,0,,,0,,,0,-2.0,-0.0706015237717,0,,,0,,,0,,,0,0.0,,0,,,0,,,0,,,0,-2.0,-0.0706015237717,0,,,0,,,0,,,0
1993-07-12,2826.800049,2826.800049,2814.600098,2826.399902,0.0,2826.399902,-6.0,-0.211804571315,0,8.800049,0.312279950319,1,,,0,,,0,-17.199951,-0.604780274262,0,5.300049,0.187845082403,1,,,0,,,0,-7.799804,-0.276353609369,0,15.600098,0.557345409075,1,,,0,,,0,-4.400147,-0.155438283306,0,7.699951,0.273173843753,1,,,0,,,0,0.0,,0,0.0,,0,,,0,,,0,-4.400147,-0.155438283306,0,7.699951,0.273173843753,1,,,0,,,0
1993-07-13,2826.399902,2843.699951,2820.899902,2843.399902,0.0,2843.399902,-0.400147,-0.0141554759114,0,3.199951,0.113344823446,1,,,0,,,0,16.899902,0.597845680878,1,3.5,0.123230760523,1,,,0,,,0,6.299804,0.223825899973,1,-2.300049,-0.0814695749476,0,,,0,,,0,17.0,0.601471857821,1,10.599853,0.374182886778,1,,,0,,,0,0.0,,0,0.0,,0,,,0,,,0,17.0,0.601471857821,1,10.599853,0.374182886778,1,,,0,,,0
1993-07-14,2845.399902,2858.399902,2845.399902,2851.100098,0.0,2851.100098,19.0,0.672233252858,1,12.599853,0.44478441055,1,27.399902,0.972317317246,1,,,0,14.699951,0.51693045164,1,14.399902,0.506325668073,1,36.899902,1.3078115187,1,,,0,24.5,0.868517170093,1,23.0,0.814909325348,1,46.399902,1.65773140407,1,,,0,7.700196,0.270809462805,1,20.300049,0.717113489071,1,32.400147,1.14947130107,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,7.700196,0.270809462805,1,20.300049,0.717113489071,1,32.400147,1.14947130107,1,,,0
1993-07-15,2848.699951,2848.699951,2835.0,2843.699951,0.0,2843.699951,3.300049,0.115978390162,1,21.899902,0.774724126942,1,25.5,0.903230392554,1,,,0,-9.699951,-0.339348983087,0,21.899902,0.774724126942,1,8.5,0.299274704128,1,,,0,-10.399902,-0.365498782533,0,20.399902,0.72478864811,1,11.800049,0.417967172174,1,,,0,-7.400147,-0.259554093004,0,17.300049,0.61208780073,1,10.899902,0.384774845081,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-7.400147,-0.259554093004,0,17.300049,0.61208780073,1,10.899902,0.384774845081,1,,,0
1993-07-16,2843.699951,2848.0,2818.800049,2830.5,0.0,2830.5,-5.0,-0.175518660652,0,17.300049,0.61208780073,1,10.899902,0.384774845081,1,,,0,-0.699951,-0.0245708924085,0,4.300049,0.151213175584,1,4.0,0.14064697609,1,,,0,-16.199951,-0.571426843034,0,-2.099853,-0.0744391177621,0,-3.599853,-0.127545816504,0,,,0,-13.199951,-0.464182270544,0,-12.899902,-0.453678780495,0,-0.300049,-0.0105994416704,0,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-13.199951,-0.464182270544,0,-12.899902,-0.453678780495,0,-0.300049,-0.0105994416704,0,,,0
1993-07-19,2825.199951,2825.199951,2817.399902,2822.199951,0.0,2822.199951,-18.5,-0.650560900193,0,-20.199951,-0.709916064375,0,-1.600098,-0.0566045695579,0,,,0,-22.800049,-0.800563518258,0,-33.199951,-1.16148727044,0,-1.600098,-0.0566045695579,0,,,0,-1.400147,-0.0496717388839,0,-28.0,-0.984044456469,0,2.799804,0.0994743090498,1,,,0,-8.300049,-0.293236142024,0,-28.900147,-1.01364897782,0,-4.199951,-0.148597195925,0,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-8.300049,-0.293236142024,0,-28.900147,-1.01364897782,0,-4.199951,-0.148597195925,0,,,0
1993-07-20,2829.5,2840.5,2829.5,2840.0,0.0,2840.0,4.300049,0.152203351075,1,-19.199951,-0.673989936822,0,3.100098,0.109683629617,1,,,0,15.300049,0.54155632399,1,-8.199951,-0.287848883387,0,-3.199951,-0.112527729899,0,,,0,12.100098,0.429477476428,1,-5.5,-0.194003527337,0,8.600098,0.304870725611,1,,,0,17.800049,0.630715374851,1,-3.699951,-0.130110456931,0,-3.399902,-0.119571714046,0,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,17.800049,0.630715374851,1,-3.699951,-0.130110456931,0,-3.399902,-0.119571714046,0,,,0
