Date,Value,RD1_Value,RD_P1_Value,RD_B1_Value,RD2_Value,RD_P2_Value,RD_B2_Value,RD3_Value,RD_P3_Value,RD_B3_Value,RD5_Value,RD_P5_Value,RD_B5_Value,RD10_Value,RD_P10_Value,RD_B10_Value,RD20_Value,RD_P20_Value,RD_B20_Value,RD30_Value,RD_P30_Value,RD_B30_Value,RD50_Value,RD_P50_Value,RD_B50_Value,RD100_Value,RD_P100_Value,RD_B100_Value,Log_Return_1_Value,Log_Return_2_Value,Log_Return_3_Value,Log_Return_5_Value,Log_Return_10_Value,Log_Return_20_Value,Log_Return_30_Value,Log_Return_50_Value,Log_Return_100_Value
1993-07-07,107.8,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,
1993-07-08,108.63,0.83,0.769944341373,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.00766995397076,,,,,,,,
1993-07-09,109.72,1.09,1.00340605726,1,1.92,1.78107606679,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.00998405362374,0.0176540075945,,,,,,,
1993-07-12,109.75,0.03,0.0273423259205,1,1.12,1.03102273773,1,1.95,1.80890538033,1,,,0,,,0,,,0,,,0,,,0,,,0,0.000273385885878,0.0102574395096,0.0179273934804,,,,,,
1993-07-13,108.3,-1.45,-1.32118451025,0,-1.42,-1.2942034269,0,-0.33,-0.303783485225,0,,,0,,,0,,,0,,,0,,,0,,,0,-0.0132998979483,-0.0130265120625,-0.00304245843871,,,,,,
1993-07-14,107.55,-0.75,-0.692520775623,0,-2.2,-2.00455580866,0,-2.17,-1.97776157492,0,-0.25,-0.231910946197,0,,,0,,,0,,,0,,,0,,,0,-0.00694929829321,-0.0202491962415,-0.0199758103557,-0.00232180276116,,,,,
1993-07-15,108.05,0.5,0.46490004649,1,-0.25,-0.230840258541,0,-1.7,-1.54897494305,0,-0.58,-0.533922489183,0,,,0,,,0,,,0,,,0,,,0,0.00463822723916,-0.00231107105405,-0.0156109690024,-0.00535352949276,,,,,
1993-07-16,108.35,0.3,0.277649236465,1,0.8,0.743840074384,1,0.05,0.0461680517082,1,-1.37,-1.2486328837,0,,,0,,,0,,,0,,,0,,,0,0.00277264502947,0.00741087226863,0.000461573975423,-0.012564938087,,,,,
1993-07-19,108.5,0.15,0.138440239963,1,0.45,0.416473854697,1,0.95,0.883310088331,1,-1.25,-1.13895216401,0,,,0,,,0,,,0,,,0,,,0,0.00138344499815,0.00415609002762,0.00879431726678,-0.0114548789748,,,,,
1993-07-20,108.75,0.25,0.230414746544,1,0.4,0.369173973235,1,0.7,0.647848218417,1,0.45,0.415512465374,1,,,0,,,0,,,0,,,0,,,0,0.00230149698828,0.00368494198643,0.0064575870159,0.00414651596185,,,,,
1993-07-21,108.55,-0.2,-0.183908045977,0,0.05,0.0460829493088,1,0.2,0.184586986617,1,1.0,0.92980009298,1,0.75,0.69573283859,1,,,0,,,0,,,0,,,0,-0.00184077364449,0.000460723343787,0.00184416834193,0.00925504061056,0.0069332378494,,,,
1993-07-22,106.8,-1.75,-1.6121602948,0,-1.95,-1.79310344828,0,-1.7,-1.5668202765,0,-1.25,-1.1568718186,0,-1.83,-1.68461750898,0,,,0,,,0,,,0,,,0,-0.0162529697982,-0.0180937434427,-0.0157922464544,-0.0116361564268,-0.0169896859196,,,,
1993-07-23,106.75,-0.05,-0.0468164794007,0,-1.8,-1.6582220175,0,-2.0,-1.83908045977,0,-1.6,-1.47669589294,0,-2.97,-2.70689026613,0,,,0,,,0,,,0,,,0,-0.000468274417361,-0.0167212442156,-0.0185620178601,-0.0148770758736,-0.0274420139607,,,,
1993-07-26,106.82,0.07,0.0655737704918,1,0.02,0.0187265917603,1,-1.73,-1.59373560571,0,-1.68,-1.54838709677,0,-2.93,-2.66970387244,0,,,0,,,0,,,0,,,0,0.00065552280289,0.00018724838553,-0.0160657214127,-0.0156049980689,-0.0270598770437,,,,
1993-07-27,106.45,-0.37,-0.346377082943,0,-0.3,-0.281030444965,0,-0.35,-0.327715355805,0,-2.3,-2.11494252874,0,-1.85,-1.7082179132,0,,,0,,,0,,,0,,,0,-0.00346978357214,-0.00281426076925,-0.00328253518661,-0.0213762786293,-0.0172297626675,,,,
1993-07-28,105.2,-1.25,-1.17426021606,0,-1.62,-1.51656993072,0,-1.55,-1.45199063232,0,-3.35,-3.08613542146,0,-2.35,-2.1850302185,0,,,0,,,0,,,0,,,0,-0.0118120910359,-0.015281874608,-0.0146263518051,-0.0313475960207,-0.0220925554101,,,,
1993-07-29,106.35,1.15,1.09315589354,1,-0.1,-0.0939408172851,0,-0.47,-0.439992510766,0,-0.45,-0.421348314607,0,-1.7,-1.5733456733,0,,,0,,,0,,,0,,,0,0.0108722413426,-0.000939849693242,-0.00440963326538,-0.00422238487985,-0.0158585413066,,,,
1993-07-30,104.8,-1.55,-1.45745181006,0,-0.4,-0.380228136882,0,-1.65,-1.5500234852,0,-1.95,-1.82669789227,0,-3.55,-3.27641901246,0,,,0,,,0,,,0,,,0,-0.0146817697593,-0.00380952841667,-0.0156216194525,-0.0184358802218,-0.0333129560954,,,,
1993-08-02,104.72,-0.08,-0.0763358778626,0,-1.63,-1.53267512929,0,-0.48,-0.456273764259,0,-2.1,-1.96592398427,0,-3.78,-3.48387096774,0,,,0,,,0,,,0,,,0,-0.000763650285297,-0.0154454200446,-0.00457317870197,-0.01985505331,-0.0354600513789,,,,
1993-08-03,104.3,-0.42,-0.401069518717,0,-0.5,-0.477099236641,0,-2.05,-1.92759755524,0,-2.15,-2.01972757163,0,-4.45,-4.09195402299,0,,,0,,,0,,,0,,,0,-0.00401875959492,-0.00478240988022,-0.0194641796395,-0.0204040293328,-0.0417803079621,,,,
1993-08-04,104.85,0.55,0.527325023969,1,0.13,0.124140565317,1,0.05,0.0477099236641,1,-0.35,-0.332699619772,0,-3.7,-3.40856748042,0,-2.95,-2.73654916512,0,,,0,,,0,,,0,0.0052593953412,0.00124063574628,0.000476985460987,-0.00333254295568,-0.0346801389764,-0.027746901127,,,
1993-08-05,104.2,-0.65,-0.619933237959,0,-0.1,-0.0958772770853,0,-0.52,-0.496562261268,0,-2.15,-2.02162670428,0,-2.6,-2.43445692884,0,-4.43,-4.07806315014,0,,,0,,,0,,,0,-0.00621862802866,-0.00095923268746,-0.00497799228238,-0.020423412327,-0.0246457972068,-0.0416354831264,,,
1993-08-06,104.42,0.22,0.21113243762,1,-0.43,-0.410109680496,0,0.12,0.115052732502,1,-0.38,-0.362595419847,0,-2.33,-2.18266978923,0,-5.3,-4.83047757929,0,,,0,,,0,,,0,0.00210909866314,-0.00410952936552,0.00114986597568,-0.00363254390454,-0.0220684241263,-0.049510438087,,,
1993-08-09,104.8,0.38,0.36391495882,1,0.6,0.575815738964,1,-0.05,-0.0476871721507,0,0.08,0.0763941940413,1,-2.02,-1.89103164201,0,-4.95,-4.51025056948,0,,,0,,,0,,,0,0.00363254390454,0.00574164256768,-0.000476985460987,0.000763650285297,-0.0190914030247,-0.0461512800683,,,
1993-08-10,104.5,-0.3,-0.286259541985,0,0.08,0.0766136755411,1,0.3,0.287907869482,1,0.2,0.191754554171,1,-1.95,-1.83184593706,0,-3.8,-3.50877192982,0,,,0,,,0,,,0,-0.00286670048208,0.000765843422459,0.0028749420856,0.00191570939814,-0.0184883199346,-0.0357180826021,,,
1993-08-11,103.73,-0.77,-0.736842105263,0,-1.07,-1.02099236641,0,-0.69,-0.660792951542,0,-1.12,-1.06819265618,0,-1.47,-1.39733840304,0,-3.82,-3.55183635518,0,,,0,,,0,,,0,-0.00739570196113,-0.0102624024432,-0.00662985853867,-0.0107393879042,-0.0140719308599,-0.03616448627,,,
