Date,USD AM,USD PM
1993-04-12,361.8,360.95
1993-04-13,362.25,361.5
1993-04-14,362.5,363.0
1993-04-15,368.25,367.85
1993-04-16,365.75,369.5
1993-04-19,373.5,371.85
1993-04-20,371.75,371.1
1993-04-21,369.75,367.0
1993-04-22,365.75,365.5
1993-04-23,370.75,371.5
1993-04-26,375.5,378.0
1993-04-27,377.15,375.25
1993-04-28,374.75,374.2
1993-04-29,383.0,384.5
1993-04-30,386.5,386.5
1993-05-03,380.875,379.375
1993-05-04,379.0,377.0
1993-05-05,374.15,375.9
1993-05-06,383.25,380.9
1993-05-07,384.75,385.0
1993-05-10,380.65,380.4
1993-05-11,378.75,378.75
1993-05-12,379.0,379.9
1993-05-13,389.25,386.75
1993-05-14,382.75,382.5
1993-05-17,386.9,386.5
1993-05-18,382.6,382.25
1993-05-19,392.0,391.25
1993-05-20,386.75,384.0
1993-05-21,386.5,384.75
1993-05-24,390.5,389.65
1993-05-25,385.25,385.0
1993-05-26,390.1,388.0
1993-05-27,391.25,390.25
1993-05-28,396.55,396.75
1993-06-01,398.0,396.0
1993-06-02,389.25,382.0
1993-06-03,386.25,387.75
1993-06-04,388.75,390.75
1993-06-07,389.85,386.0
1993-06-08,385.75,385.0
1993-06-09,383.4,383.6
1993-06-10,385.25,386.85
1993-06-11,387.65,386.75
1993-06-14,383.0,382.5
1993-06-15,378.0,376.35
1993-06-16,380.75,379.5
1993-06-17,381.0,379.75
1993-06-18,380.25,379.0
1993-06-21,377.25,378.35
1993-06-22,375.5,374.65
1993-06-23,372.65,372.15
1993-06-24,379.75,380.0
1993-06-25,381.5,383.25
1993-06-28,385.5,386.4
1993-06-29,384.5,384.1
1993-06-30,385.7,385.65
1993-07-01,385.5,385.25
1993-07-02,395.75,395.0
1993-07-06,393.5,404.25
1993-07-07,408.75,406.25
1993-07-08,408.5,408.0
1993-07-09,401.25,403.0
1993-07-12,406.25,405.5
1993-07-13,401.25,402.25
1993-07-14,407.35,407.25
1993-07-15,405.75,404.2
1993-07-16,405.0,403.9
1993-07-19,405.0,408.0
1993-07-20,403.6,405.5
1993-07-21,403.75,404.25
1993-07-22,399.5,396.25
1993-07-23,404.9,404.15
1993-07-26,402.35,404.0
1993-07-27,404.9,406.0
