Date,USD,RD1_USD,RD_P1_USD,RD_B1_USD,RD2_USD,RD_P2_USD,RD_B2_USD,RD3_USD,RD_P3_USD,RD_B3_USD,RD5_USD,RD_P5_USD,RD_B5_USD,RD10_USD,RD_P10_USD,RD_B10_USD,RD20_USD,RD_P20_USD,RD_B20_USD,RD30_USD,RD_P30_USD,RD_B30_USD,RD50_USD,RD_P50_USD,RD_B50_USD,RD100_USD,RD_P100_USD,RD_B100_USD,Log_Return_1_USD,Log_Return_2_USD,Log_Return_3_USD,Log_Return_5_USD,Log_Return_10_USD,Log_Return_20_USD,Log_Return_30_USD,Log_Return_50_USD,Log_Return_100_USD
1993-07-07,5.1675,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,
1993-07-08,5.115,-0.0525,-1.01596516691,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,-0.0102116131702,,,,,,,,
1993-07-09,4.99,-0.125,-2.44379276637,0,-0.1775,-3.43492985002,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,-0.0247414896402,-0.0349531028104,,,,,,,
1993-07-12,5.065,0.075,1.50300601202,1,-0.05,-0.977517106549,0,-0.1025,-1.98355104015,0,,,0,,,0,,,0,,,0,,,0,,,0,0.0149182279372,-0.00982326170294,-0.0200348748731,,,,,,
1993-07-13,4.9775,-0.0875,-1.72754195459,0,-0.0125,-0.250501002004,0,-0.1375,-2.68817204301,0,,,0,,,0,,,0,,,0,,,0,,,0,-0.0174263807444,-0.00250815280721,-0.0272496424474,,,,,,
1993-07-14,5.095,0.1175,2.36062280261,1,0.03,0.592300098717,1,0.105,2.10420841683,1,-0.0725,-1.40299951621,0,,,0,,,0,,,0,,,0,,,0,0.0233319097185,0.00590552897404,0.0208237569113,-0.0141293458991,,,,,
1993-07-15,4.925,-0.17,-3.33660451423,0,-0.0525,-1.05474635861,0,-0.14,-2.76406712734,0,-0.19,-3.71456500489,0,,,0,,,0,,,0,,,0,,,0,-0.0339353920506,-0.0106034823322,-0.0280298630766,-0.0378531247795,,,,,
1993-07-16,5.045,0.12,2.43654822335,1,-0.05,-0.981354268891,0,0.0675,1.35610246107,1,0.055,1.10220440882,1,,,0,,,0,,,0,,,0,,,0,0.0240733791815,-0.00986201286912,0.0134698968494,0.0109617440421,,,,,
1993-07-19,5.0685,0.0235,0.465807730426,1,0.1435,2.91370558376,1,-0.0265,-0.520117762512,0,0.0035,0.0691016781836,1,,,0,,,0,,,0,,,0,,,0,0.00464726203475,0.0287206412163,-0.00521475083437,0.000690778139671,,,,,
1993-07-20,5.045,-0.0235,-0.463648022097,0,0.0,0.0,0,0.12,2.43654822335,1,0.0675,1.35610246107,1,,,0,,,0,,,0,,,0,,,0,-0.00464726203475,0.0,0.0240733791815,0.0134698968494,,,,,
