Date,USD
1993-04-12,3.8735
1993-04-13,3.8725
1993-04-14,3.9015
1993-04-15,3.9325
1993-04-16,3.87
1993-04-19,3.975
1993-04-20,3.9525
1993-04-21,3.9115
1993-04-22,3.8775
1993-04-23,3.9325
1993-04-26,4.0185
1993-04-27,4.1025
1993-04-28,4.045
1993-04-29,4.36
1993-04-30,4.2985
1993-05-03,4.280125
1993-05-04,4.274
1993-05-05,4.252
1993-05-06,4.303
1993-05-07,4.3625
1993-05-10,4.2775
1993-05-11,4.244
1993-05-12,4.2325
1993-05-13,4.52
1993-05-14,4.435
1993-05-17,4.4615
1993-05-18,4.403
1993-05-19,4.744
1993-05-20,4.513
1993-05-21,4.5225
1993-05-24,4.7225
1993-05-25,4.5215
1993-05-26,4.555
1993-05-27,4.591
1993-05-28,4.7135
1993-06-01,4.615
1993-06-02,4.365
1993-06-03,4.385
1993-06-04,4.5
1993-06-07,4.355
1993-06-08,4.3925
1993-06-09,4.3675
1993-06-10,4.305
1993-06-11,4.31
1993-06-14,4.22
1993-06-15,4.225
1993-06-16,4.318
1993-06-17,4.326
1993-06-18,4.3425
1993-06-21,4.29
1993-06-22,4.2965
1993-06-23,4.266
1993-06-24,4.43
1993-06-25,4.4025
1993-06-28,4.505
1993-06-29,4.455
1993-06-30,4.575
1993-07-01,4.5475
1993-07-02,4.835
1993-07-06,5.07
1993-07-07,5.1675
1993-07-08,5.115
1993-07-09,4.99
1993-07-12,5.065
1993-07-13,4.9775
1993-07-14,5.095
1993-07-15,4.925
1993-07-16,5.045
1993-07-19,5.0685
1993-07-20,5.045
1993-07-21,5.05
1993-07-22,4.9375
1993-07-23,5.0275
1993-07-26,4.9665
1993-07-27,5.105
1993-07-28,5.065
1993-07-29,5.145
1993-07-30,5.3
1993-08-02,5.42
1993-08-03,5.3765
1993-08-04,5.29
1993-08-05,5.17
1993-08-06,4.82
1993-08-09,4.675
1993-08-10,4.796
1993-08-11,4.785
1993-08-12,4.686
1993-08-13,4.5925
1993-08-16,4.772
1993-08-17,4.735
1993-08-18,4.6925
1993-08-19,4.725
1993-08-20,4.6575
1993-08-23,4.7825
1993-08-24,4.764
1993-08-25,4.7475
1993-08-26,4.725
1993-08-27,4.6875
1993-08-30,4.80375
1993-08-31,4.8425
1993-09-01,4.8325
1993-09-02,4.72
1993-09-03,4.555
1993-09-07,4.5025
1993-09-08,4.255
1993-09-09,4.2425
1993-09-10,4.2775
1993-09-13,4.064
1993-09-14,3.9235
1993-09-15,4.0375
1993-09-16,4.057
1993-09-17,4.0975
1993-09-20,4.111
1993-09-21,4.1075
1993-09-22,4.0735
1993-09-23,4.039
1993-09-24,4.142
1993-09-27,4.1075
1993-09-28,4.045
1993-09-29,4.0625
1993-09-30,4.03
1993-10-01,4.0575
1993-10-04,4.0875
1993-10-05,4.05
1993-10-06,4.1525
1993-10-07,4.33
1993-10-08,4.365
1993-10-11,4.3775
1993-10-12,4.2865
1993-10-13,4.4475
1993-10-14,4.4335
1993-10-15,4.3325
1993-10-18,4.355
1993-10-19,4.4535
1993-10-20,4.4925
1993-10-21,4.5115
1993-10-22,4.436
1993-10-25,4.4325
1993-10-26,4.3925
1993-10-27,4.3875
1993-10-28,4.42
1993-10-29,4.4025
1993-11-01,4.285
1993-11-02,4.2115
1993-11-03,4.2125
1993-11-04,4.3815
1993-11-05,4.4775
1993-11-08,4.5175
1993-11-09,4.5425
1993-11-10,4.5325
1993-11-11,4.5675
1993-11-12,4.58
1993-11-15,4.5175
1993-11-16,4.5775
1993-11-17,4.55
1993-11-18,4.6115
1993-11-19,4.6925
1993-11-22,4.7325
1993-11-23,4.6825
