Date,Value
10/1/1928,4223100
11/1/1928,5669000
12/1/1928,4272000
1/1/1929,4803600
2/1/1929,4341100
3/1/1929,5075000
4/1/1929,3676800
5/1/1929,4006300
6/1/1929,3300500
7/1/1929,4076800
8/1/1929,4210400
9/1/1929,4718000
10/1/1929,6121700
11/1/1929,4480000
12/1/1929,3692800
1/1/1930,2773600
2/1/1930,3508900
3/1/1930,4315200
4/1/1930,5172300
5/1/1930,3418000
6/1/1930,3542800
7/1/1930,2144500
8/1/1930,1819500
9/1/1930,2527600
10/1/1930,2810400
11/1/1930,2567700
12/1/1930,2520400
1/1/1931,1897100
2/1/1931,3416100
3/1/1931,2816800
4/1/1931,2547600
5/1/1931,2141900
6/1/1931,2538100
7/1/1931,1452100
8/1/1931,1100000
9/1/1931,2399000
10/1/1931,2162300
11/1/1931,1808900
12/1/1931,2162700
1/1/1932,1598500
2/1/1932,1484700
3/1/1932,1400000
4/1/1932,1421900
5/1/1932,1067100
6/1/1932,963600
7/1/1932,1165500
8/1/1932,3404300
9/1/1932,2978500
10/1/1932,1315500
11/1/1932,1102000
12/1/1932,1053800
1/1/1933,873300
2/1/1933,1009400
3/1/1933,1251200
4/1/1933,2504200
5/1/1933,4559500
6/1/1933,5434000
7/1/1933,5556000
8/1/1933,1894700
9/1/1933,2084500
10/1/1933,1785700
11/1/1933,1608000
12/1/1933,1610000
1/1/1934,2424500
2/1/1934,2861100
3/1/1934,1302300
4/1/1934,1371900
5/1/1934,1058600
6/1/1934,721400
7/1/1934,942300
8/1/1934,690800
9/1/1934,630500
10/1/1934,682200
11/1/1934,1027800
12/1/1934,1097500
1/1/1935,822700
2/1/1935,744400
3/1/1935,709000
4/1/1935,980000
5/1/1935,1334500
6/1/1935,1024000
7/1/1935,1328600
8/1/1935,1778600
9/1/1935,1642500
10/1/1935,1982600
11/1/1935,2949400
12/1/1935,2086100
1/1/1936,2930400
2/1/1936,3056300
3/1/1936,2166300
4/1/1936,1846100
5/1/1936,943300
6/1/1936,953100
7/1/1936,1455600
8/1/1936,1188000
9/1/1936,1374200
10/1/1936,1932800
11/1/1936,2636600
12/1/1936,2133600
1/1/1937,2755500
2/1/1937,2596100
3/1/1937,2177200
4/1/1937,1531800
5/1/1937,873500
6/1/1937,722700
7/1/1937,948500
8/1/1937,745900
9/1/1937,1480400
10/1/1937,2477500
11/1/1937,1408900
12/1/1937,1207300
1/1/1938,1075200
2/1/1938,738900
3/1/1938,953400
4/1/1938,703000
5/1/1938,624700
6/1/1938,1149500
7/1/1938,1807500
8/1/1938,843900
9/1/1938,1115200
10/1/1938,1869500
11/1/1938,1387300
12/1/1938,1254700
1/1/1939,1140900
2/1/1939,719400
3/1/1939,1083900
4/1/1939,882600
5/1/1939,576300
6/1/1939,535900
7/1/1939,852000
8/1/1939,719100
9/1/1939,2618000
10/1/1939,1090400
11/1/1939,907000
12/1/1939,856000
1/1/1940,693100
2/1/1940,667300
3/1/1940,753500
4/1/1940,1138600
5/1/1940,1650000
6/1/1940,767500
7/1/1940,337700
8/1/1940,331800
9/1/1940,573500
10/1/1940,651700
11/1/1940,1042700
12/1/1940,826100
1/1/1941,572200
2/1/1941,447300
3/1/1941,453300
4/1/1941,510400
5/1/1941,430400
6/1/1941,481400
7/1/1941,804000
8/1/1941,478000
9/1/1941,623300
10/1/1941,581300
11/1/1941,837000
12/1/1941,1600900
1/1/1942,563300
2/1/1942,413300
3/1/1942,369000
4/1/1942,344200
5/1/1942,327100
6/1/1942,325900
7/1/1942,361700
8/1/1942,332800
9/1/1942,434700
10/1/1942,699500
11/1/1942,695500
12/1/1942,865400
1/1/1943,855500
2/1/1943,1280500
3/1/1943,1550400
4/1/1943,1520400
5/1/1943,1616000
6/1/1943,1016800
7/1/1943,1190400
8/1/1943,629500
9/1/1943,670400
10/1/1943,659000
11/1/1943,920500
12/1/1943,839500
1/1/1944,790000
2/1/1944,847000
3/1/1944,1141300
4/1/1944,682100
5/1/1944,777200
6/1/1944,1670000
7/1/1944,1291000
8/1/1944,892600
9/1/1944,767500
10/1/1944,799500
11/1/1944,897500
12/1/1944,1442000
1/1/1945,1685900
2/1/1945,1762700
3/1/1945,1216600
4/1/1945,1328000
5/1/1945,1378600
6/1/1945,1856100
7/1/1945,993300
8/1/1945,1084700
9/1/1945,1266300
10/1/1945,1640000
11/1/1945,2017800
12/1/1945,1626800
1/1/1946,2220000
2/1/1946,1777700
3/1/1946,1152300
4/1/1946,1418000
5/1/1946,1361800
6/1/1946,1136500
7/1/1946,982700
8/1/1946,999500
9/1/1946,2227000
10/1/1946,1355200
11/1/1946,1230000
12/1/1946,1384700
1/1/1947,1034000
2/1/1947,1170000
3/1/1947,858000
4/1/1947,932800
5/1/1947,944700
6/1/1947,864200
7/1/1947,1195400
8/1/1947,702300
9/1/1947,809000
10/1/1947,1260000
11/1/1947,924100
12/1/1947,1225000
1/1/1948,946100
2/1/1948,910000
3/1/1948,1019500
4/1/1948,1528600
5/1/1948,1974000
6/1/1948,1451300
7/1/1948,1233800
8/1/1948,711800
9/1/1948,912300
10/1/1948,967500
11/1/1948,1452600
12/1/1948,1221700
1/1/1949,868500
2/1/1949,868400
3/1/1949,903400
4/1/1949,916000
5/1/1949,885700
6/1/1949,835000
7/1/1949,971000
8/1/1949,979100
9/1/1949,1188000
10/1/1949,1398000
11/1/1949,1402600
12/1/1949,1806600
1/1/1950,1926600
2/1/1950,1750500
3/1/1950,1710000
4/1/1950,2358900
5/1/1950,1989000
6/1/1950,2196300
7/1/1950,2308000
8/1/1950,1740800
9/1/1950,2019500
10/1/1950,2247600
11/1/1950,2146000
12/1/1950,2935500
1/1/1951,3080000
2/1/1951,2161100
3/1/1951,1599000
4/1/1951,1597100
5/1/1951,1699500
6/1/1951,1807100
7/1/1951,1406600
8/1/1951,1528600
9/1/1951,1990000
10/1/1951,1851800
11/1/1951,1321500
12/1/1951,1450000
1/1/1952,1651300
2/1/1952,1377800
3/1/1952,1345700
4/1/1952,1336100
5/1/1952,1121400
6/1/1952,1281400
7/1/1952,1151300
8/1/1952,1037100
9/1/1952,1200900
10/1/1952,1259000
11/1/1952,1904100
12/1/1952,1933100
1/1/1953,1705700
2/1/1953,1786600
3/1/1953,2074000
4/1/1953,1690900
5/1/1953,1269000
6/1/1953,1222700
7/1/1953,1024300
8/1/1953,1241900
9/1/1953,1337600
10/1/1953,1290900
11/1/1953,1588800
12/1/1953,1756300
1/1/1954,1768500
2/1/1954,1851000
3/1/1954,2032100
4/1/1954,2188000
5/1/1954,2192000
6/1/1954,2008100
7/1/1954,2601900
8/1/1954,2706300
9/1/1954,2050400
10/1/1954,2193800
11/1/1954,3322500
12/1/1954,3650900
1/1/1955,3721400
2/1/1955,3338400
3/1/1955,2976500
4/1/1955,2801000
5/1/1955,2259000
6/1/1955,2749500
7/1/1955,2527000
8/1/1955,1897800
9/1/1955,2962800
10/1/1955,2092800
11/1/1955,2463000
12/1/1955,2562300
1/1/1956,2336100
2/1/1956,2513500
3/1/1956,3037600
4/1/1956,2706100
5/1/1956,2510400
6/1/1956,1855200
7/1/1956,2293800
8/1/1956,2003000
9/1/1956,2049400
10/1/1956,1851300
11/1/1956,2292500
12/1/1956,2632100
1/1/1957,2275400
2/1/1957,2060500
3/1/1957,1774700
4/1/1957,2404200
5/1/1957,2482200
6/1/1957,2262000
7/1/1957,2275400
8/1/1957,1954000
9/1/1957,1920500
10/1/1957,2875200
11/1/1957,2681000
12/1/1957,2833800
1/1/1958,2357200
2/1/1958,2088500
3/1/1958,2320400
4/1/1958,2531900
5/1/1958,2688000
6/1/1958,2830000
7/1/1958,3357700
8/1/1958,3074200
9/1/1958,3623800
10/1/1958,4301700
11/1/1958,4359400
12/1/1958,3805200
1/1/1959,4135200
2/1/1959,3688900
3/1/1959,4059500
4/1/1959,3606800
5/1/1959,3511400
6/1/1959,3068600
7/1/1959,3325900
8/1/1959,2532800
9/1/1959,2873800
10/1/1959,2949500
11/1/1959,3587800
12/1/1959,3455400
1/1/1960,3349000
2/1/1960,3174500
3/1/1960,2973900
4/1/1960,3007500
5/1/1960,3454200
6/1/1960,3610000
7/1/1960,2829500
8/1/1960,2976500
9/1/1960,3057600
10/1/1960,2706100
11/1/1960,3254500
12/1/1960,3934700
1/1/1961,4461900
2/1/1961,5187300
3/1/1961,5484500
4/1/1961,5273500
5/1/1961,4821900
6/1/1961,3430400
7/1/1961,3200500
8/1/1961,3670000
9/1/1961,3344000
10/1/1961,3469500
11/1/1961,4599000
12/1/1961,4387500
1/1/1962,3846800
2/1/1962,3640000
3/1/1962,3245000
4/1/1962,3469500
5/1/1962,5533600
6/1/1962,4994200
7/1/1962,3730900
8/1/1962,3618600
9/1/1962,3460000
10/1/1962,3555600
11/1/1962,5029500
12/1/1962,4314500
1/1/1963,4829000
2/1/1963,4379400
3/1/1963,3721400
4/1/1963,5284200
5/1/1963,4988600
6/1/1963,4680000
7/1/1963,3648600
8/1/1963,4373100
