Date,Value
2016-06-01,1.4414
2016-05-31,1.4477
2016-05-30,1.4638
2016-05-27,1.462
2016-05-26,1.4664
2016-05-23,1.4482
2016-05-20,1.45
2016-05-19,1.4607
2016-05-18,1.4595
2016-05-17,1.4462
2016-05-16,1.4396
2016-05-12,1.4445
2016-05-11,1.4446
2016-05-10,1.444
2016-05-09,1.4406
2016-05-06,1.4428
2016-05-05,1.4481
2016-05-03,1.4533
2016-04-28,1.4608
2016-04-27,1.4538
2016-04-26,1.458
2016-04-25,1.448
2016-04-22,1.4401
2016-04-21,1.4321
2016-04-20,1.4331
2016-04-19,1.4392
2016-04-18,1.4273
2016-04-15,1.4194
2016-04-14,1.4153
2016-04-13,1.4202
2016-04-12,1.4273
2016-04-11,1.4239
2016-04-08,1.4122
2016-04-07,1.4054
2016-04-06,1.412
2016-04-05,1.4159
2016-04-04,1.4262
2016-04-01,1.422
2016-03-31,1.4358
2016-03-30,1.4376
2016-03-29,1.438
2016-03-28,1.4252
2016-03-23,1.4115
2016-03-22,1.1214
2016-03-21,1.4366
2016-03-18,1.4478
2016-03-17,1.4478
2016-03-16,1.4257
2016-03-15,1.4151
2016-03-14,1.43
2016-03-11,1.4385
2016-03-10,1.4275
2016-03-09,1.4215
2016-03-08,1.4214
2016-03-07,1.4263
2016-03-04,1.4225
2016-03-03,1.4177
2016-03-02,1.4076
2016-03-01,1.3946
2016-02-29,1.3915
2016-02-26,1.3868
2016-02-25,1.39635
2016-02-24,1.3942
2016-02-23,1.4013
2016-02-22,1.41535
2016-02-19,1.43685
2016-02-18,1.4332
2016-02-17,1.42855
2016-02-16,1.42955
2016-02-15,1.4431
2016-02-12,1.4502
2016-02-11,1.4473
2016-02-10,1.45275
2016-02-09,1.447
2016-02-08,1.44355
2016-02-05,1.45035
2016-02-04,1.4588
2016-02-03,1.45985
2016-02-02,1.4411
2016-02-01,1.44335
2016-01-29,1.42455
2016-01-28,1.43545
2016-01-27,1.4234
2016-01-26,1.4355
2016-01-25,1.4246
2016-01-22,1.42635
2016-01-21,1.42245
2016-01-20,1.4188
2016-01-19,1.4166
2016-01-18,1.4239
2016-01-15,1.42595
2016-01-14,1.44085
2016-01-13,1.4421
2016-01-12,1.4446
2016-01-11,1.45365
2016-01-08,1.45275
2016-01-07,1.46225
2016-01-06,1.46285
2016-01-05,1.4673
2016-01-04,1.4717
2016-01-01,1.4748
2015-12-31,1.47445
2015-12-30,1.48135
2015-12-29,1.4822
2015-12-28,1.4878
2015-12-25,1.4933
2015-12-24,1.49125
2015-12-22,1.4824
2015-12-21,1.4883
2015-12-18,1.49195
2015-12-17,1.4891
2015-12-16,1.50045
2015-12-15,1.504
2015-12-14,1.514
2015-12-11,1.52225
2015-12-10,1.516
2015-12-09,1.5184
2015-12-08,1.50105
2015-12-07,1.5048
2015-12-04,1.51055
2015-12-03,1.51565
2015-12-02,1.49445
2015-12-01,1.5076
2015-11-30,1.5054
2015-11-27,1.50395
2015-11-26,1.50995
2015-11-25,1.5123
2015-11-24,1.5075
2015-11-23,1.5116
2015-11-20,1.51935
2015-11-19,1.5289
2015-11-18,1.5231
2015-11-17,1.521
2015-11-16,1.5204
2015-11-13,1.52305
2015-11-12,1.5233
2015-11-11,1.52135
2015-11-10,1.512
2015-11-09,1.5114
2015-11-06,1.50505
2015-11-05,1.5207
2015-11-04,1.53785
2015-11-03,1.5427
2015-11-02,1.5413
2015-10-30,1.54175
2015-10-29,1.53115
2015-10-28,1.52675
2015-10-27,1.53
2015-10-26,1.5351
2015-10-23,1.5307
2015-10-22,1.5394
2015-10-21,1.5416
2015-10-20,1.5445
2015-10-19,1.546
